Name,Num,Guesses
Lechonk,4,Castform; Ditto; Wooper; Lechonk
Oinkologne Male,3,Castform; Gourgeist Super Size; Oinkologne Male
Oinkologne Female,2,Castform; Oinkologne Female
Tarountula,4,Castform; Ditto; Cosmog; Tarountula
Spidops,3,Castform; Marowak; Spidops
Nymble,4,Castform; Ditto; Cosmog; Nymble
Lokix,3,Castform; Revavroom; Lokix
Pawmi,4,Castform; Ditto; Fletchling; Pawmi
Pawmo,4,Castform; Fletchinder; Ninjask; Pawmo
Pawmot,2,Castform; Pawmot
Tandemaus,3,Castform; Poliwag; Tandemaus
Maushold Family of Four,3,Castform; Maushold Family of Three; Maushold Family of Four
Maushold Family of Three,2,Castform; Maushold Family of Three
Fidough,3,Castform; Pumpkaboo Average Size; Fidough
Dachsbun,3,Castform; Lopunny; Dachsbun
Smoliv,4,Castform; Ditto; Cherubi; Smoliv
Dolliv,3,Castform; Prinplup; Dolliv
Arboliva,3,Castform; Bellibolt; Arboliva
Squawkabilly,3,Castform; Zangoose; Squawkabilly
Nacli,4,Castform; Cubone; Bergmite; Nacli
Naclstack,3,Castform; Cubone; Naclstack
Garganacl,3,Castform; Gourgeist Super Size; Garganacl
Charcadet,3,Castform; Ditto; Charcadet
Armarouge,3,Castform; Sigilyph; Armarouge
Ceruledge,2,Castform; Ceruledge
Tadbulb,4,Castform; Ditto; Mareep; Tadbulb
Bellibolt,2,Castform; Bellibolt
Wattrel,2,Castform; Wattrel
Kilowattrel,2,Castform; Kilowattrel
Maschiff,3,Castform; Karrablast; Maschiff
Mabosstiff,3,Castform; Tauros; Mabosstiff
Shroodle,3,Castform; Poliwag; Shroodle
Grafaiai,3,Castform; Electabuzz; Grafaiai
Bramblin,4,Castform; Ditto; Fletchling; Bramblin
Brambleghast,3,Castform; Xatu; Brambleghast
Toedscool,3,Castform; Tentacool; Toedscool
Toedscruel,3,Castform; Tentacruel; Toedscruel
Klawf,2,Castform; Klawf
Capsakid,4,Castform; Ditto; Quaxly; Capsakid
Scovillain,3,Castform; Boltund; Scovillain
Rellor,3,Castform; Ditto; Rellor
Rabsca,3,Castform; Bellibolt; Rabsca
Flittle,3,Castform; Poliwag; Flittle
Espathra,3,Castform; Vivillon; Espathra
Tinkatink,4,Castform; Ditto; Hoothoot; Tinkatink
Tinkatuff,3,Castform; Ledian; Tinkatuff
Tinkaton,4,Castform; Iron Leaves; Leavanny; Tinkaton
Wiglett,3,Castform; Poliwag; Wiglett
Wugtrio,4,Castform; Alolan Dugtrio; Dugtrio; Wugtrio
Bombirdier,2,Castform; Bombirdier
Finizen,2,Castform; Finizen
Palafin Zero Form,2,Castform; Palafin Zero Form
Palafin Hero Form,3,Castform; Mew; Palafin Hero Form
Varoom,3,Castform; Mudkip; Varoom
Revavroom,2,Castform; Revavroom
Cyclizar,3,Castform; Galvantula; Cyclizar
Orthworm,3,Castform; Perrserker; Orthworm
Glimmet,3,Castform; Poltchageist; Glimmet
Glimmora,3,Castform; Sigilyph; Glimmora
Greavard,4,Castform; Ditto; Larvitar; Greavard
Houndstone,4,Castform; Gourgeist Super Size; Barbaracle; Houndstone
Flamigo,3,Castform; Hisuian Samurott; Flamigo
Cetoddle,3,Castform; Shellos; Cetoddle
Cetitan,3,Castform; Zangoose; Cetitan
Veluza,2,Castform; Veluza
Dondozo,3,Castform; Donphan; Dondozo
Tatsugiri,3,Castform; Mismagius; Tatsugiri
Annihilape,4,Castform; Ceruledge; Kangaskhan; Annihilape
Clodsire,2,Castform; Clodsire
Farigiraf,2,Castform; Farigiraf
Dudunsparce Two-Segment Form,3,Castform; Type: Null; Dudunsparce Two-Segment Form
Dudunsparce Three-Segment Form,4,Castform; Type: Null; Dudunsparce Two-Segment Form; Dudunsparce Three-Segment Form
Kingambit,4,Castform; Gourgeist Super Size; Muk; Kingambit
Great Tusk,3,Castform; Revavroom; Great Tusk
Scream Tail,3,Castform; Mandibuzz; Scream Tail
Brute Bonnet,3,Castform; Type: Null; Brute Bonnet
Flutter Mane,3,Castform; Mismagius; Flutter Mane
Slither Wing,4,Castform; Mew; Mega Malamar; Slither Wing
Sandy Shocks,3,Castform; Mew; Sandy Shocks
Iron Treads,2,Castform; Iron Treads
Iron Bundle,2,Castform; Iron Bundle
Iron Hands,3,Castform; Donphan; Iron Hands
Iron Jugulis,4,Castform; Mew; Sandy Shocks; Iron Jugulis
Iron Moth,3,Castform; Tentacruel; Iron Moth
Iron Thorns,3,Castform; Iron Leaves; Iron Thorns
Frigibax,3,Castform; Karrablast; Frigibax
Arctibax,4,Castform; Cufant; Gumshoos; Arctibax
Baxcalibur,3,Castform; Mew; Baxcalibur
Gimmighoul Chest Form,2,Castform; Gimmighoul Chest Form
Gimmighoul Roaming Form,3,Castform; Frogadier; Gimmighoul Roaming Form
Gholdengo,3,Castform; Sigilyph; Gholdengo
Wo-Chien,3,Castform; Decidueye; Wo-Chien
Chien-Pao,3,Castform; Hisuian Samurott; Chien-Pao
Ting-Lu,3,Castform; Gourgeist Super Size; Ting-Lu
Chi-Yu,3,Castform; Mega Medicham; Chi-Yu
Roaring Moon,3,Castform; Ceruledge; Roaring Moon
Iron Valiant,3,Castform; Hisuian Samurott; Iron Valiant
Koraidon,3,Castform; Mew; Koraidon
Miraidon,3,Castform; Mew; Miraidon
Walking Wake,4,Castform; Mew; Sandy Shocks; Walking Wake
Iron Leaves,2,Castform; Iron Leaves
Dipplin,3,Castform; Type: Null; Dipplin
Poltchageist,2,Castform; Poltchageist
Sinistcha,2,Castform; Sinistcha
Okidogi,3,Castform; Ceruledge; Okidogi
Munkidori,3,Castform; Magmortar; Munkidori
Fezandipiti,3,Castform; Iron Leaves; Fezandipiti
Ogerpon,3,Castform; Ceruledge; Ogerpon
Archaludon,3,Castform; Hisuian Samurott; Archaludon
Hydrapple,3,Castform; Type: Null; Hydrapple
Gouging Fire,3,Castform; Ceruledge; Gouging Fire
Raging Bolt,3,Castform; Mew; Raging Bolt
Iron Boulder,3,Castform; Ceruledge; Iron Boulder
Iron Crown,3,Castform; Mew; Iron Crown
Terapagos Normal Form,3,Castform; Audino; Terapagos Normal Form
Terapagos Terastal Form,4,Castform; Mew; Heatran; Terapagos Terastal Form
Terapagos Stellar Form,3,Castform; Mew; Terapagos Stellar Form
Pecharunt,3,Castform; Mew; Pecharunt
